"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16";"i17";"i18";"i19";"i20";"i21";"i22";"i23";"i24";"i25";"i26";"i27";"i28";"i29";"i30";"i31";"i32";"i33";"i34";"i35";"i36";"i37";"i38";"i39";"i40";"i41";"i42";"i43";"i44";"i45";"i46";"i47";"i48";"i49";"i50";"i51";"i52";"i53";"i54";"i55";"i56"
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;1;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;0;NA;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;0;NA;1;0;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;1;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;0;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;0;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;1;NA;1;0;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;1;NA;1;0;NA;NA;1;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;1;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;1;NA;1;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;0;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;1;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;0;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;1;NA;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;1;NA;1;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0;NA;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;NA;NA;NA;0;NA;1;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
